dataset,num_workers,prefetch_factor,batch_size,throughput,TTFB
Energon,8,2,1024,1408.15,16.8295
WebDataset,8,4,1024,2640.2,5.0
MosaicML MDS,8,4,1024,2809.35,13.349
LitData,8,4,1024,3009.66,2.8652
Energon,8,4,1024,1414.96,14.6082
WebDataset,16,1,1024,2968.04,7.4591
MosaicML MDS,16,1,1024,3631.01,9.2436
LitData,16,1,1024,3654.88,4.6532
Energon,16,1,1024,2033.79,13.6505
WebDataset,16,2,1024,3017.09,7.4427
MosaicML MDS,16,2,1024,3630.61,9.6937
LitData,16,2,1024,3667.91,4.691
Energon,16,2,1024,2079.94,13.4554
WebDataset,16,4,1024,2987.78,7.3442
MosaicML MDS,16,4,1024,3627.45,9.8106
LitData,16,4,1024,3683.61,4.5905
Energon,16,4,1024,2091.97,14.2378
